,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
93,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,14.99,112.542,46.448,32.978,0.5710505980634137
94,Castrol India Ltd.,OIL & GAS,CASTROLIND,7.083,14.298,51.147,21.082,0.48833019770390623
95,Ceat Ltd.,AUTOMOBILE,CEATLTD,106.81,819.74,2.8859999000000003,80.973,0.41136375435413014
96,Central Bank of India,FINANCIAL SERVICES,CENTRALBK,-1.738,37.502,60.765,2.8970001,0.2485209968379091
97,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,19.17,83.924,0.0,10.9560005,0.7451285741626794
98,Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,6.388,50.207,74.18900000000001,15.927,0.27790694739349775
99,Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX,-2.73,312.517,56.733999999999995,18.586999000000002,0.43763683569689155
100,Cera Sanitaryware Ltd,CONSUMER GOODS,CERA,70.919,611.386,60.401,24.587,0.31873280588040814
101,Chalet Hotels Ltd.,CONSUMER SERVICES,CHALET,-6.78,69.273,75.553,21.666000999999998,0.28263119439675355
102,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,39.76,126.109,65.45400000000001,19.633,0.35263169376850034
103,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,43.93,286.814,50.86000000000001,33.43,0.49110967996249894
104,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,18.52,117.095,51.803,38.479,0.4820158224274721
105,Cipla Ltd.,PHARMA,CIPLA,29.79,227.246,38.621,29.876,0.6270568969804514
106,City Union Bank Ltd.,FINANCIAL SERVICES,CUB,7.97,79.345,8.36,49.543,0.9349032771649295
107,Coal India Ltd.,METALS,COALINDIA,20.68,60.126,66.135,24.254998999999998,0.32727324760883114
108,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,38.698,281.742,72.86200000000001,7.095999999999999,0.2713504257260149
109,Coforge Ltd.,IT,COFORGE,73.29,406.999,3.74,82.45599999999999,0.4156896833426029
110,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,38.07,42.869,51.120996,19.539,0.4859226238657945
111,Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,41.93,105.702,45.398998,39.360002,0.5791374793908921
112,Container Corporation of India Ltd.,SERVICES,CONCOR,8.22,167.195,55.63399999999999,31.148999999999997,0.43847023930069257
113,Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,45.22,175.487,60.499,24.577999000000002,0.3965672929127908
114,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,8.9,173.844,75.801,13.982001,0.34899033207770336
115,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,9.75,30.784,16.747,64.375997,0.8856323912748485
116,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,22.91,167.776,51.041000000000004,31.435000000000002,0.4769833874458874
117,Cyient Ltd.,IT,CYIENT,33.06,268.773,32.727000000000004,56.486000000000004,0.6498921058131821
118,DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,10.7,121.089,17.206,53.964999999999996,0.8398148704107944
119,DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,43.17,298.081,78.251,11.09,0.21482090136076235
120,DLF Ltd.,CONSTRUCTION,DLF,-5.038,139.161,74.953,13.618,0.24416451251230714
121,Dabur India Ltd.,CONSUMER GOODS,DABUR,9.55,43.407,67.999,16.242,0.37975787325318344
122,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,65.55,673.387,52.966,8.963000000000001,0.3735971569046601
123,Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,56.88,172.049,49.469003,20.879,0.4969736055060659
124,Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP,-0.9,72.605,42.488,11.057,0.5433153138115909
125,Dhani Services Ltd.,FINANCIAL SERVICES,DHANI,-7.3,96.841,67.676,11.882,0.27572884673389897
126,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,44.61,171.045,75.0,13.194,0.24457872601585176
127,Dilip Buildcon Ltd.,CONSTRUCTION,DBL,31.92,374.126,70.151,19.597,0.17747055076589677
128,Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,-6.321,20.46,47.421002,14.751,0.8621565450279449
129,Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,-10.53,363.404,65.792,13.088,0.35728893529074274
130,Divi's Laboratories Ltd.,PHARMA,DIVISLAB,74.75,350.108,52.368,25.661,0.4706970032869225
