,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc,price,dv_avg,trn_avg
132,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,35.25,150.773,58.592,38.034,0.3377974459287824,2790.10009765625,-0.0007817976966946044,231896685.15918767
133,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,115.14,1055.26,33.036998000000004,34.230998,0.704646897115322,5283.0,-0.0004011785750232731,889693276.7697603
134,E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY,34.385,234.25,58.695,5.6539997,0.398117751352328,419.8500061035156,4.514579522912928e-05,35946129.609690756
135,EIH Ltd.,CONSUMER SERVICES,EIHOTEL,-6.17,49.549,71.172,15.913,0.3132171487692748,108.75,-0.0005454645159461714,18294031.44007852
136,EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL,7.57,53.813,59.875,22.024,0.3933169597070934,234.6000061035156,-0.003405108130851055,16326664.40405048
137,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,-29.301,66.53,44.507000000000005,27.652,0.3357448243204002,68.4000015258789,-0.0019859655388250654,166019152.55333632
138,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,49.24,418.488,51.769,29.29,0.4855146824859334,2618.10009765625,-0.0002319828777559696,549101916.219174
139,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,3.238,27.501,53.279996,22.486,0.5312140464603794,215.6499938964844,-0.0028892596751378193,8383154.895808804
140,Emami Ltd.,CONSUMER GOODS,EMAMILTD,10.23,39.581,66.778,33.641,0.4479307292163839,501.9500122070313,-0.0009101807410572049,112408492.13482818
141,Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,36.95,253.192,75.0,21.294,0.250045200227767,1473.050048828125,-0.00023435713895528923,124952631.89060396
142,Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,5.436,38.609,51.333,20.120001,0.5487375726009821,85.55000305175781,-0.002555156269100935,99143708.0192455
143,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,12.32,89.05,21.117,47.807997,0.7599626198560464,93.9000015258789,-0.0019224298763039823,368302545.8635474
144,Eris Lifesciences Ltd.,PHARMA,ERIS,26.14,116.187,79.661006,14.762999,0.2558294241951038,705.5499877929688,-0.0008541869692186653,76283322.97027582
145,Escorts Ltd.,AUTOMOBILE,ESCORTS,91.98,511.854,52.085996,19.504999,0.3221956570803926,1139.5,-0.0030058059702638184,338501316.3450872
146,Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,9.53,85.631,50.9,29.535,0.4907530858823529,191.1499938964844,-0.001960537199720148,219798327.14352378
147,FDC Ltd.,PHARMA,FDC,17.72,102.538,79.716,7.312,0.2470341863633671,349.1000061035156,-0.0022184237563183896,21103965.66786617
148,Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,8.31,82.631,6.637,57.8,0.9339979122288125,87.3499984741211,-0.002134565693057085,328152291.3428463
149,Fine Organic Industries Ltd.,CHEMICALS,FINEORG,39.25,238.571,75.0,17.082000999999998,0.2499754729288975,3295.0,-0.0006459667888657794,77318536.59280562
150,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,23.426,201.082,60.448,23.948999,0.4327859704700059,469.6000061035156,-0.0032826007250965814,24932390.540369347
151,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,8.019,37.771,58.867,14.691,0.3852342844003473,170.9499969482422,-0.000310285663656059,23113485.192588694
152,Firstsource Solutions Ltd.,IT,FSL,5.13,40.214,6.6599995,73.04,0.4183187846184565,139.75,-0.003092692030249683,114122230.91260944
153,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,-1.45,81.061,6.4899996,68.89699999999999,0.6230416367948068,226.6499938964844,-0.0016125741097756082,272135958.2449286
154,Future Consumer Ltd.,CONSUMER SERVICES,FCONSUMER,-2.37,4.409,54.028,9.094,0.5842473639181899,6.949999809265137,-0.0032383350366373,84014056.69072528
155,Future Retail Ltd.,CONSUMER SERVICES,FRETAIL,-46.66,53.335,46.472,11.7460005,0.6916400315471579,46.150001525878906,-0.0019271140946494202,330758659.3288608
156,GAIL (India) Ltd.,OIL & GAS,GAIL,18.567,113.236,58.80800000000001,25.948998,0.3326817838284077,152.8000030517578,-0.0017373516546043328,594065207.6139315
157,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,10.313,137.038,68.821996,14.614000999999998,0.3076958204487258,290.1499938964844,-0.002396647829519881,48757087.30432469
158,GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,50.19,278.555,59.559,11.367,0.401134256883872,5185.0,-0.0004050025651777544,131825303.18889411
